Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,death_category
Ethiopia,2022-04-25,3812.751,60.869,1729.927,Lowest,Under 200 Dead
European Union,2022-04-25,299169.844,2408.168,NA,NA,200 - 1999 Dead
Faeroe Islands,2022-04-25,652484.139,527.138,NA,NA,200 - 1999 Dead
Fiji,2022-04-25,69397.883,927.112,8702.975,Lowest,200 - 1999 Dead
Finland,2022-04-25,191823.482,825.882,40585.721,High,200 - 1999 Dead
France,2022-04-25,423449.042,2257.228,38605.671,High,200 - 1999 Dead
French Guiana,2022-04-25,264052.691,1293.636,NA,NA,200 - 1999 Dead
French Polynesia,2022-04-25,237283.377,2115.628,NA,NA,200 - 1999 Dead
Gabon,2022-04-25,19923.424,126.831,16562.413,Low,Under 200 Dead
Gambia,2022-04-25,4432.75,134.886,1561.767,Lowest,Under 200 Dead
Georgia,2022-04-25,441796.183,4473.365,9745.079,Lowest,3000+ Dead
Germany,2022-04-25,292147.412,1687.997,45229.245,High,200 - 1999 Dead
Ghana,2022-04-25,4814.572,43.165,4227.63,Lowest,Under 200 Dead
Gibraltar,2022-04-25,543409.738,3090.859,NA,NA,3000+ Dead
Greece,2022-04-25,316858.148,2792.882,24574.382,Average,200 - 1999 Dead
Greenland,2022-04-25,211898.609,371.721,NA,NA,200 - 1999 Dead
Grenada,2022-04-25,115001.714,1753.561,13593.877,Low,200 - 1999 Dead
Guadeloupe,2022-04-25,372969.108,2380.218,NA,NA,200 - 1999 Dead
Guam,2022-04-25,235011.613,2054.918,NA,NA,200 - 1999 Dead
Guatemala,2022-04-25,47150.025,980.502,7423.808,Lowest,200 - 1999 Dead
Guernsey,2022-04-25,382147.2,615.832,NA,NA,200 - 1999 Dead
Guinea,2022-04-25,2637.137,31.892,1998.926,Lowest,Under 200 Dead
Guinea-Bissau,2022-04-25,3887.765,81.213,1548.675,Lowest,Under 200 Dead
Guyana,2022-04-25,78403.466,1518.436,7435.047,Lowest,200 - 1999 Dead
Haiti,2022-04-25,2646.439,72.076,1653.173,Lowest,Under 200 Dead
Honduras,2022-04-25,40501.366,1044.105,4541.795,Lowest,200 - 1999 Dead
Hungary,2022-04-25,189715.594,4619.905,26777.561,Average,3000+ Dead
Iceland,2022-04-25,476544.839,294.983,46482.958,High,200 - 1999 Dead
India,2022-04-25,30382.699,368.475,6426.674,Lowest,200 - 1999 Dead
Indonesia,2022-04-25,21938.731,566.603,11188.744,Low,200 - 1999 Dead
Iran,2022-04-25,81484.65,1591.881,19082.62,Low,200 - 1999 Dead
Iraq,2022-04-25,52232.437,566.431,15663.986,Low,200 - 1999 Dead
Ireland,2022-04-25,303307.833,1454.478,67335.293,High,200 - 1999 Dead
Isle of Man,2022-04-25,374594.838,1159.297,NA,NA,200 - 1999 Dead
Israel,2022-04-25,429393.692,1137.263,33132.32,Average,200 - 1999 Dead
Italy,2022-04-25,272355.988,2754.335,35220.084,High,200 - 1999 Dead
Jamaica,2022-04-25,45798.198,1040.892,8193.571,Lowest,200 - 1999 Dead
Japan,2022-04-25,61798.364,236.447,39002.223,High,200 - 1999 Dead
Jersey,2022-04-25,446965.594,1110.148,NA,NA,200 - 1999 Dead
Jordan,2022-04-25,150253.746,1246.159,8337.49,Lowest,200 - 1999 Dead
Kazakhstan,2022-04-25,71881.078,980.153,24055.588,Average,200 - 1999 Dead
Kenya,2022-04-25,5991.321,104.558,2993.028,Lowest,Under 200 Dead
Kiribati,2022-04-25,23438.512,99.057,1981.132,Lowest,Under 200 Dead
Kosovo,2022-04-25,127887.37,1755.218,9795.834,Lowest,200 - 1999 Dead
Kuwait,2022-04-25,147909.548,598.517,65530.537,High,200 - 1999 Dead
Kyrgyzstan,2022-04-25,12499.583,154.435,3393.474,Lowest,Under 200 Dead
Laos,2022-04-25,27262.186,89.116,6397.36,Lowest,Under 200 Dead
Latvia,2022-04-25,441634.687,3436.083,25063.846,Average,3000+ Dead
Lebanon,2022-04-25,199703.301,1889.888,13367.565,Low,200 - 1999 Dead
Lesotho,2022-04-25,14360.581,302.278,2851.153,Lowest,200 - 1999 Dead
Liberia,2022-04-25,1401.93,55.444,752.788,Lowest,Under 200 Dead
Libya,2022-04-25,73675.669,943.875,17881.509,Low,200 - 1999 Dead
Liechtenstein,2022-04-25,433972.812,2083.598,NA,NA,200 - 1999 Dead
Lithuania,2022-04-25,416646.122,3298.112,29524.265,Average,3000+ Dead
Luxembourg,2022-04-25,397683.141,1287.83,94277.965,High,200 - 1999 Dead
Madagascar,2022-04-25,2166.44,46.975,1416.44,Lowest,Under 200 Dead
Malawi,2022-04-25,4202.189,129.035,1095.042,Lowest,Under 200 Dead
Malaysia,2022-04-25,130562.932,1045.989,26808.164,Average,200 - 1999 Dead
Maldives,2022-04-25,342116.617,568.922,15183.616,Low,200 - 1999 Dead
Mali,2022-04-25,1359.987,32.354,2014.306,Lowest,Under 200 Dead
Malta,2022-04-25,170094.113,1329.476,36513.323,High,200 - 1999 Dead
Martinique,2022-04-25,408359.455,2497.878,NA,NA,200 - 1999 Dead
Mauritania,2022-04-25,12390.454,207.342,3597.633,Lowest,200 - 1999 Dead
Mauritius,2022-04-25,170542.325,761.844,20292.745,Average,200 - 1999 Dead
Mayotte,2022-04-25,113574.129,573.421,NA,NA,200 - 1999 Dead
Mexico,2022-04-25,45273.525,2556.098,17336.469,Low,200 - 1999 Dead
Moldova,2022-04-25,157955.119,3510.243,5189.972,Lowest,3000+ Dead
Monaco,2022-04-25,331588.611,1562.029,NA,NA,200 - 1999 Dead
Mongolia,2022-04-25,270846.078,620.297,11840.846,Low,200 - 1999 Dead
Montenegro,2022-04-25,329251.996,4061.67,16409.288,Low,3000+ Dead
Montserrat,2022-04-25,40108.77,453.206,NA,NA,200 - 1999 Dead
Morocco,2022-04-25,31092.71,428.881,7485.013,Lowest,200 - 1999 Dead
Mozambique,2022-04-25,6835.344,66.759,1136.103,Lowest,Under 200 Dead
Myanmar,2022-04-25,11309.649,358.698,5591.597,Lowest,200 - 1999 Dead
Namibia,2022-04-25,61689.334,1567.964,9541.808,Lowest,200 - 1999 Dead
Nepal,2022-04-25,32039.946,391.226,2442.804,Lowest,200 - 1999 Dead
Netherlands,2022-04-25,457839.891,1266.111,48472.545,High,200 - 1999 Dead
New Caledonia,2022-04-25,208846.768,1076.014,NA,NA,200 - 1999 Dead
New Zealand,2022-04-25,171097.889,124.198,36085.843,High,Under 200 Dead
Nicaragua,2022-04-25,2068.247,33.533,5321.444,Lowest,Under 200 Dead
Niger,2022-04-25,340.125,11.79,926,Lowest,Under 200 Dead
Nigeria,2022-04-25,1169.962,14.382,5338.454,Lowest,Under 200 Dead
North Macedonia,2022-04-25,147643.348,4599.242,13111.214,Low,3000+ Dead
Northern Mariana Islands,2022-04-25,226348.489,685.843,NA,NA,200 - 1999 Dead
Norway,2022-04-25,262153.306,540.27,64800.057,High,200 - 1999 Dead
Oman,2022-04-25,85011.035,1010.423,37960.709,High,200 - 1999 Dead
Pakistan,2022-04-25,6478.329,128.778,5034.708,Lowest,Under 200 Dead
Palau,2022-04-25,243087.812,331.785,13240.405,Low,200 - 1999 Dead
Palestine,2022-04-25,125152.474,1077.508,4449.898,Lowest,200 - 1999 Dead
Panama,2022-04-25,174887.299,1855.926,22267.037,Average,200 - 1999 Dead
Papua New Guinea,2022-04-25,4318.409,63.987,3823.194,Lowest,Under 200 Dead
Paraguay,2022-04-25,95717.211,2771.819,8827.01,Lowest,200 - 1999 Dead
Peru,2022-04-25,104534.099,6247.476,12236.706,Low,3000+ Dead
Philippines,2022-04-25,31880.942,520.79,7599.188,Lowest,200 - 1999 Dead
Poland,2022-04-25,150304.748,2909.064,27216.445,Average,200 - 1999 Dead
Portugal,2022-04-25,385587.493,2163.792,27936.896,Average,200 - 1999 Dead
Puerto Rico,2022-04-25,167786.553,1293.194,35044.67,High,200 - 1999 Dead
Qatar,2022-04-25,135091.393,251.194,116935.6,High,200 - 1999 Dead
Romania,2022-04-25,146893.755,3327.743,23313.199,Average,3000+ Dead
Russia,2022-04-25,125331.504,2590.653,24765.954,Average,200 - 1999 Dead
Rwanda,2022-04-25,9420.615,105.903,1854.211,Lowest,Under 200 Dead
Saint Barthelemy,2022-04-25,404129.525,363.835,NA,NA,200 - 1999 Dead
Saint Kitts and Nevis,2022-04-25,116650.238,901.827,24654.385,Average,200 - 1999 Dead
Saint Lucia,2022-04-25,129119.596,2045.899,12951.839,Low,200 - 1999 Dead
Saint Pierre and Miquelon,2022-04-25,448768.054,169.924,NA,NA,Under 200 Dead
Saint Vincent and the Grenadines,2022-04-25,80772.228,1019.633,10727.146,Low,200 - 1999 Dead
Samoa,2022-04-25,33598.633,58.456,6021.557,Lowest,Under 200 Dead
San Marino,2022-04-25,483110.715,3383.793,56861.47,High,3000+ Dead
Sao Tome and Principe,2022-04-25,26179.346,321.03,3052.714,Lowest,200 - 1999 Dead
Saudi Arabia,2022-04-25,20690.918,249.28,49045.411,High,200 - 1999 Dead
Senegal,2022-04-25,4965.451,113.534,2470.58,Lowest,Under 200 Dead
Serbia,2022-04-25,291221.758,2321.602,14048.881,Low,200 - 1999 Dead
Seychelles,2022-04-25,394604.938,1521.445,26382.287,Average,200 - 1999 Dead
Sierra Leone,2022-04-25,892.081,14.525,1390.3,Lowest,Under 200 Dead
